id,title,budget,revenue,runtime,popularity,vote_average,vote_count,original_language,release_date,release_year,release_month,genres,budget_safe,runtime_safe,vote_count_safe,month_sin,month_cos,release_competition,log_budget,log_vote_count,popularity_score,vote_density,popularity_per_budget,budget_per_minute,hype_score,is_summer_release,is_holiday_release,is_sequel,is_hit,roi
473,Pi,60000,3221152,84,18.313,7.111,2021,en,1998-07-10,1998,7,"Mystery, Drama, Thriller",60000,84,2021,-0.4999999999999997,-0.8660254037844388,780.0,11.002116507732017,7.611842399580417,130.22374299999998,24.05952380952381,0.00030521666666666667,705.8823529411765,37010.573,1,0,0,0,52.684988583523605
8872,Wayne's World,20000000,183097323,95,14.512,6.692,2021,en,1992-02-14,1992,2,"Comedy, Music",20000000,95,2021,0.8660254037844386,0.5000000000000001,736.0,16.811242881518265,7.611842399580417,97.114304,21.273684210526316,7.256e-07,208333.33333333334,29328.752,0,0,0,1,8.154865742256712
22972,Green Zone,79910000,94882889,115,20.64,6.456,2019,en,2010-03-11,2010,3,"War, Action, Adventure, Drama, Thriller",79910000,115,2019,1.0,6.123233995736766e-17,796.0,18.196411571864722,7.61085279039525,133.25184000000002,17.556521739130435,2.582905768990114e-07,688879.3103448276,41672.16,0,0,0,1,0.18737190354934422
1248,Hannibal Rising,50000000,82169884,121,5.265,6.236,2018,en,2007-02-06,2007,2,"Crime, Drama, Thriller, Horror",50000000,121,2018,0.8660254037844386,0.5000000000000001,736.0,17.72753358339242,7.610357618312838,32.832539999999995,16.677685950413224,1.053e-07,409836.0655737705,10624.769999999999,0,0,0,1,0.6433976671320466
10065,The Amityville Horror,19000000,108047131,90,30.749,6.122,2018,en,2005-04-14,2005,4,Horror,19000000,90,2018,0.8660254037844387,-0.4999999999999998,774.0,16.759949589762293,7.610357618312838,188.245378,22.42222222222222,1.6183684210526316e-06,208791.2087912088,62051.481999999996,0,0,0,1,4.686690858595218
284,The Apartment,3000000,25000000,125,24.186,8.222,2016,en,1960-06-21,1960,6,"Comedy, Drama, Romance",3000000,125,2016,1.2246467991473532e-16,-1.0,840.0,14.914123179965662,7.6093665379542115,198.857292,16.128,8.062e-06,23809.52380952381,48758.976,1,0,0,1,7.333330888889703
374416,Where Am I Going?,11089000,75173000,86,7.263,6.8,2016,it,2016-01-01,2016,1,Comedy,11089000,86,2016,0.49999999999999994,0.8660254037844387,692.0,16.221464274114805,7.6093665379542115,49.3884,23.441860465116278,6.549733970601496e-07,127459.77011494253,14642.208,0,0,0,1,5.779059808904337
399019,The Beguiled,10500000,27397655,93,15.376,5.896,2016,en,2017-06-23,2017,6,Drama,10500000,93,2016,1.2246467991473532e-16,-1.0,840.0,16.166885910365842,7.6093665379542115,90.65689599999999,21.677419354838708,1.4643809523809523e-06,111702.12765957447,30998.016,1,0,0,1,1.6093003229237788
625568,Unhinged,33000000,39238300,90,48.514,6.467,2015,en,2020-07-16,2020,7,"Action, Thriller",33000000,90,2015,-0.4999999999999997,-0.8660254037844388,780.0,17.312018149733785,7.60887062919126,313.740038,22.38888888888889,1.4701212121212123e-06,362637.3626373626,97755.71,1,0,0,1,0.18903938821092764
262,The King of Comedy,19000000,2536000,109,21.491,7.8,2015,en,1982-12-18,1982,12,"Drama, Comedy",19000000,109,2015,-2.4492935982947064e-16,1.0,1029.0,16.759949589762293,7.60887062919126,167.6298,18.486238532110093,1.1311052631578948e-06,172727.27272727274,43304.365,0,1,0,0,-0.8665262701828279
82525,Savages,45000000,82966152,131,23.031,6.349,2014,en,2012-07-06,2012,7,"Crime, Drama, Thriller",45000000,131,2014,-0.4999999999999997,-0.8660254037844388,780.0,17.622173069956816,7.608374474380783,146.223819,15.374045801526718,5.118e-07,340909.0909090909,46384.434,1,0,0,1,0.8436922479179501
89492,This Is 40,35000000,88215156,134,17.926,5.861,2010,en,2012-12-20,2012,12,Comedy,35000000,134,2010,-2.4492935982947064e-16,1.0,1029.0,17.370858648025116,7.606387389772652,105.06428599999998,15.0,5.121714285714285e-07,259259.25925925927,36031.259999999995,0,1,1,1,1.520432985130486
463821,The House with a Clock in Its Walls,42000000,131523093,105,18.083,6.2,2009,en,2018-09-15,2018,9,"Fantasy, Family, Comedy",42000000,105,2009,-1.0,-1.8369701987210297e-16,1076.0,17.553180200057167,7.605890001053122,112.1146,19.133333333333333,4.30547619047619e-07,396226.41509433964,36328.746999999996,0,0,0,1,2.1315021635356626
104,Run Lola Run,1530000,7267585,81,18.341,7.321,2009,de,1998-03-03,1998,3,"Action, Drama, Thriller",1530000,81,2009,1.0,6.123233995736766e-17,796.0,14.240778946963175,7.605890001053122,134.274461,24.80246913580247,1.1987581699346405e-05,18658.536585365855,36847.069,0,0,0,0,3.7500531045404544
1646,Freedom Writers,21000000,43095175,123,29.828,7.911,2007,en,2007-01-05,2007,1,"Crime, Drama",21000000,123,2007,0.49999999999999994,0.8660254037844387,692.0,16.860033043306743,7.60489448081162,235.96930799999998,16.317073170731707,1.4203809523809524e-06,169354.83870967742,59864.796,0,0,0,1,1.0521511403737551
55301,Alvin and the Chipmunks: Chipwrecked,75000000,342695435,87,32.036,5.698,2006,en,2011-12-14,2011,12,"Comedy, Fantasy, Family, Music, Animation",75000000,87,2006,-2.4492935982947064e-16,1.0,1029.0,18.132998684833918,7.604396348796338,182.54112800000001,23.057471264367816,4.271466666666667e-07,852272.7272727273,64264.216,0,1,0,1,3.5692724190763676
152603,Only Lovers Left Alive,7000000,7600000,123,20.758,7.252,2005,en,2013-12-12,2013,12,"Drama, Romance",7000000,123,2005,-2.4492935982947064e-16,1.0,1029.0,15.76142084987672,7.603897968521881,150.537016,16.30081300813008,2.965428571428571e-06,56451.6129032258,41619.79,0,1,0,0,0.08571427346938951
9488,Spy Kids 2: The Island of Lost Dreams,38000000,119723358,100,39.196,5.59,2005,en,2002-08-07,2002,8,"Action, Adventure, Family, Comedy, Science Fiction",38000000,100,2005,-0.8660254037844385,-0.5000000000000004,885.0,17.453096744006448,7.603897968521881,219.10564,20.05,1.0314736842105263e-06,376237.62376237626,78587.98,1,0,1,1,2.1506146276154046
16614,Adventureland,9800000,17164820,107,22.949,6.39,2004,en,2009-04-03,2009,4,"Comedy, Drama",9800000,107,2004,0.8660254037844387,-0.4999999999999998,774.0,16.097893045681612,7.60339933974067,146.64411,18.72897196261682,2.341734693877551e-06,90740.74074074074,45989.796,0,0,0,1,0.751512168213044
43593,Piranha 3D,24000000,83188165,88,37.262,5.388,2003,en,2010-08-20,2010,8,"Comedy, Horror",24000000,88,2003,-0.8660254037844385,-0.5000000000000004,885.0,16.993564429978885,7.602900462204755,200.767656,22.761363636363637,1.5525833333333333e-06,269662.9213483146,74635.78600000001,1,0,1,1,2.46617343890944
62838,New Year's Eve,56000000,142044638,118,29.92,5.883,2002,en,2011-12-08,2011,12,"Comedy, Romance",56000000,118,2002,-2.4492935982947064e-16,1.0,1029.0,17.840862266556567,7.602401335665818,176.01936,16.966101694915253,5.342857142857143e-07,470588.23529411765,59899.840000000004,0,1,0,1,1.53651136541944
619778,Malignant,40000000,34891791,111,32.356,6.832,2000,en,2021-09-01,2021,9,"Horror, Mystery, Thriller",40000000,111,2000,-1.0,-1.8369701987210297e-16,1076.0,17.50439003707821,7.601402334583733,221.056192,18.01801801801802,8.089e-07,357142.85714285716,64712.0,0,0,0,1,-0.12770522180736946
